contig	bin
k115_3193	0
k115_9360	4
k115_1887	0
k115_4916	6
k115_797	10
k115_5215	1
k115_8106	1
k115_8535	1
k115_6134	0
k115_1539	0
k115_4924	1
k115_5702	1
k115_4418	1
k115_1905	13
k115_8542	0
k115_6443	4
k115_2389	1
k115_1910	0
k115_9775	1
k115_2637	1
k115_8548	0
k115_1132	1
k115_5714	0
k115_4937	13
k115_7738	1
k115_1541	1
k115_7382	1
k115_800	4
k115_5243	4
k115_1923	14
k115_4939	4
k115_2639	4
k115_8140	4
k115_6465	0
k115_6815	4
k115_1134	4
k115_1940	4
k115_7403	1
k115_8561	4
k115_4956	4
k115_6823	0
k115_3648	1
k115_2432	1
k115_7407	4
k115_6161	1
k115_8144	4
k115_9805	4
k115_5259	4
k115_8943	1
k115_8567	4
k115_1551	4
k115_2436	4
k115_7743	4
k115_5264	5
k115_4442	1
k115_1565	4
k115_6174	4
k115_3668	4
k115_5716	1
k115_5272	4
k115_4083	1
k115_7429	5
k115_6176	5
k115_8582	4
k115_1571	4
k115_2657	1
k115_1191	1
k115_6474	1
k115_2437	1
k115_9807	4
k115_3680	6
k115_7434	5
k115_5295	0
k115_1999	1
k115_8149	1
k115_6482	0
k115_6178	5
k115_4464	4
k115_3216	1
k115_8949	1
k115_3217	0
k115_1589	4
k115_5726	4
k115_4477	0
k115_1594	4
k115_9380	1
k115_5317	0
k115_9839	4
k115_6844	1
k115_4481	13
k115_3219	4
k115_5748	4
k115_8633	4
k115_2024	4
k115_6190	4
k115_3220	1
k115_2441	1
k115_4494	4
k115_5340	1
k115_7765	1
k115_6194	5
k115_1609	4
k115_9844	4
k115_6496	1
k115_6872	6
k115_9397	1
k115_9846	4
k115_2455	0
k115_5774	1
k115_3684	1
k115_4512	0
k115_1625	5
k115_8964	1
k115_2677	1
k115_3687	0
k115_9407	4
k115_4090	1
k115_6515	1
k115_8181	4
k115_7788	10
k115_9858	1
k115_6518	1
k115_9412	4
k115_1226	1
k115_3282	15
k115_1237	6
k115_4120	4
k115_6531	10
k115_9004	1
k115_2026	1
k115_9859	1
k115_3286	4
k115_2697	4
k115_6924	4
k115_1238	1
k115_6929	4
k115_9433	10
k115_2698	4
k115_7814	1
k115_3296	4
k115_6935	0
k115_9439	4
k115_7822	4
k115_2047	4
k115_6549	1
k115_8235	4
k115_6570	4
k115_6572	0
k115_6573	0
k115_9451	1
k115_2744	4
k115_6580	6
k115_6954	1
k115_8247	1
k115_6583	4
k115_8249	4
k115_1628	1
k115_6963	1
k115_9864	1
k115_6606	4
k115_3688	1
k115_9047	1
k115_9463	5
k115_3693	1
k115_8253	4
k115_8254	6
k115_9469	5
k115_9052	1
k115_6971	5
k115_1637	4
k115_9481	5
k115_2799	4
k115_6988	4
k115_9876	1
k115_9486	4
k115_9878	1
k115_7000	8
k115_2821	1
k115_9495	4
k115_9889	1
k115_9891	1
k115_9899	5
k115_2837	1
k115_2853	1
k115_2859	4
