,single_output/single.bam_0_depth.txt_mean,single_output/single.bam_0_depth.txt_var
k115_842,1e-05,1e-05
k115_843,1e-05,1e-05
k115_3318,1e-05,1e-05
k115_7868,1e-05,1e-05
k115_9127,1e-05,1e-05
k115_1695,1e-05,1e-05
k115_7043,1e-05,1e-05
k115_860,1e-05,1e-05
k115_9526,1e-05,1e-05
k115_4169,1e-05,1e-05
k115_8325,1e-05,1e-05
k115_4173,1e-05,1e-05
k115_7887,1e-05,1e-05
k115_2515,1e-05,1e-05
k115_6636,1e-05,1e-05
k115_1319,1e-05,1e-05
k115_7500,1e-05,1e-05
k115_6222,1e-05,1e-05
k115_9154,1e-05,1e-05
k115_9544,1e-05,1e-05
k115_2520,1e-05,1e-05
k115_5001,1e-05,1e-05
k115_3362,1e-05,1e-05
k115_1716,1e-05,1e-05
k115_7903,1e-05,1e-05
k115_2530,1e-05,1e-05
k115_2979,1e-05,1e-05
k115_2137,1e-05,1e-05
k115_2535,1e-05,1e-05
k115_2988,1e-05,1e-05
k115_6672,1e-05,1e-05
k115_1329,1e-05,1e-05
k115_2547,1e-05,1e-05
k115_8369,1e-05,1e-05
k115_2152,1e-05,1e-05
k115_3003,1e-05,1e-05
k115_6682,1e-05,1e-05
k115_6251,1e-05,1e-05
k115_7560,1e-05,1e-05
k115_2160,1e-05,1e-05
k115_490,1e-05,1e-05
k115_5023,1e-05,1e-05
k115_6683,1e-05,1e-05
k115_198,1e-05,1e-05
k115_4206,1e-05,1e-05
k115_492,1e-05,1e-05
k115_3027,1e-05,1e-05
k115_891,1e-05,1e-05
k115_8408,1e-05,1e-05
k115_3443,1e-05,1e-05
k115_5499,1e-05,1e-05
k115_1334,1e-05,1e-05
k115_7575,1e-05,1e-05
k115_3036,1e-05,1e-05
k115_4227,1e-05,1e-05
k115_216,1e-05,1e-05
k115_7070,1e-05,1e-05
k115_5036,1e-05,1e-05
k115_8755,1e-05,1e-05
k115_1735,1e-05,1e-05
k115_3039,1e-05,1e-05
k115_3462,1e-05,1e-05
k115_4239,1e-05,1e-05
k115_9261,1e-05,1e-05
k115_1742,1e-05,1e-05
k115_5055,1e-05,1e-05
k115_5882,1e-05,1e-05
k115_2227,1e-05,1e-05
k115_3478,1e-05,1e-05
k115_9648,1e-05,1e-05
k115_6285,1e-05,1e-05
k115_524,1e-05,1e-05
k115_5885,1e-05,1e-05
k115_8441,1e-05,1e-05
k115_7096,1e-05,1e-05
k115_3794,1e-05,1e-05
k115_3058,1e-05,1e-05
k115_9279,1e-05,1e-05
k115_7644,1e-05,1e-05
k115_3801,1e-05,1e-05
k115_8802,1e-05,1e-05
k115_8463,1e-05,1e-05
k115_5908,1e-05,1e-05
k115_7651,1e-05,1e-05
k115_3808,1e-05,1e-05
k115_7654,1e-05,1e-05
k115_278,1e-05,1e-05
k115_8473,1e-05,1e-05
k115_9671,1e-05,1e-05
k115_7942,1e-05,1e-05
k115_9676,1e-05,1e-05
k115_5932,1e-05,1e-05
k115_4282,1e-05,1e-05
k115_8825,1e-05,1e-05
k115_6715,1e-05,1e-05
k115_9680,1e-05,1e-05
k115_5940,1e-05,1e-05
k115_7669,1e-05,1e-05
k115_8835,1e-05,1e-05
k115_5129,1e-05,1e-05
k115_4294,1e-05,1e-05
k115_5947,1e-05,1e-05
k115_3080,1e-05,1e-05
k115_4298,1e-05,1e-05
k115_1382,1e-05,1e-05
k115_300,1e-05,1e-05
k115_5961,1e-05,1e-05
k115_608,1e-05,1e-05
k115_7681,1e-05,1e-05
k115_1392,1e-05,1e-05
k115_3094,1e-05,1e-05
k115_610,1e-05,1e-05
k115_3856,1e-05,1e-05
k115_7201,1e-05,1e-05
k115_3857,1e-05,1e-05
k115_4777,1e-05,1e-05
k115_5563,1e-05,1e-05
k115_9317,1e-05,1e-05
k115_9323,1e-05,1e-05
k115_343,1e-05,1e-05
k115_5574,1e-05,1e-05
k115_3115,1e-05,1e-05
k115_4335,1e-05,1e-05
k115_6744,1e-05,1e-05
k115_3877,1e-05,1e-05
k115_8910,1e-05,1e-05
k115_5997,1e-05,1e-05
k115_2289,1e-05,1e-05
k115_4345,1e-05,1e-05
k115_7219,1e-05,1e-05
k115_646,1e-05,1e-05
k115_5177,1e-05,1e-05
k115_1779,1e-05,1e-05
k115_7220,1e-05,1e-05
k115_5179,1e-05,1e-05
k115_6004,1e-05,1e-05
k115_373,1e-05,1e-05
k115_5591,1e-05,1e-05
k115_6360,1e-05,1e-05
k115_1789,1e-05,1e-05
k115_3121,1e-05,1e-05
k115_383,1e-05,1e-05
k115_1790,1e-05,1e-05
k115_3897,1e-05,1e-05
k115_2568,1e-05,1e-05
k115_6362,1e-05,1e-05
k115_8014,1e-05,1e-05
k115_6034,1e-05,1e-05
k115_3122,1e-05,1e-05
k115_5606,1e-05,1e-05
k115_3522,1e-05,1e-05
k115_402,1e-05,1e-05
k115_3124,1e-05,1e-05
k115_1044,1e-05,1e-05
k115_4808,1e-05,1e-05
k115_6382,1e-05,1e-05
k115_404,1e-05,1e-05
k115_5619,1e-05,1e-05
k115_3128,1e-05,1e-05
k115_6053,1e-05,1e-05
k115_1418,1e-05,1e-05
k115_5649,1e-05,1e-05
k115_6768,1e-05,1e-05
k115_5201,1e-05,1e-05
k115_6067,1e-05,1e-05
k115_5654,1e-05,1e-05
k115_1819,1e-05,1e-05
k115_9743,1e-05,1e-05
k115_1440,1e-05,1e-05
k115_4887,1e-05,1e-05
k115_4411,1e-05,1e-05
k115_3602,1e-05,1e-05
k115_4893,1e-05,1e-05
k115_1091,1e-05,1e-05
k115_1467,1e-05,1e-05
k115_1845,1e-05,1e-05
k115_2591,1e-05,1e-05
k115_4907,1e-05,1e-05
k115_3637,1e-05,1e-05
k115_8074,1e-05,1e-05
k115_1490,1e-05,1e-05
k115_9768,1e-05,1e-05
k115_2619,1e-05,1e-05
k115_7727,1e-05,1e-05
k115_7380,1e-05,1e-05
k115_6123,1e-05,1e-05
k115_6797,1e-05,1e-05
k115_3193,1e-05,1e-05
k115_9360,1e-05,1e-05
k115_6134,1e-05,1e-05
k115_1539,1e-05,1e-05
k115_4924,1e-05,1e-05
k115_1905,1e-05,1e-05
k115_8542,1e-05,1e-05
k115_1910,1e-05,1e-05
k115_8548,1e-05,1e-05
k115_5714,1e-05,1e-05
k115_4937,1e-05,1e-05
k115_5243,1e-05,1e-05
k115_4939,1e-05,1e-05
k115_2639,1e-05,1e-05
k115_6465,1e-05,1e-05
k115_1134,1e-05,1e-05
k115_1940,1e-05,1e-05
k115_7403,1e-05,1e-05
k115_8561,1e-05,1e-05
k115_4956,1e-05,1e-05
k115_6823,1e-05,1e-05
k115_7407,1e-05,1e-05
k115_5259,1e-05,1e-05
k115_8567,1e-05,1e-05
k115_1551,1e-05,1e-05
k115_2436,1e-05,1e-05
k115_7743,1e-05,1e-05
k115_5264,1e-05,1e-05
k115_1565,1e-05,1e-05
k115_6174,1e-05,1e-05
k115_3668,1e-05,1e-05
k115_7429,1e-05,1e-05
k115_8582,1e-05,1e-05
k115_1571,1e-05,1e-05
k115_3680,1e-05,1e-05
k115_5295,1e-05,1e-05
k115_6482,1e-05,1e-05
k115_3217,1e-05,1e-05
k115_1589,1e-05,1e-05
k115_4477,1e-05,1e-05
k115_1594,1e-05,1e-05
k115_5317,1e-05,1e-05
k115_9839,1e-05,1e-05
k115_4481,1e-05,1e-05
k115_3219,1e-05,1e-05
k115_2024,1e-05,1e-05
k115_6190,1e-05,1e-05
k115_4494,1e-05,1e-05
k115_6194,1e-05,1e-05
k115_1609,1e-05,1e-05
k115_9844,1e-05,1e-05
k115_9846,1e-05,1e-05
k115_2455,1e-05,1e-05
k115_4512,1e-05,1e-05
k115_1625,1e-05,1e-05
k115_3687,1e-05,1e-05
k115_4120,1e-05,1e-05
k115_6531,1e-05,1e-05
k115_2697,1e-05,1e-05
k115_6929,1e-05,1e-05
k115_3296,1e-05,1e-05
k115_6935,1e-05,1e-05
k115_7822,1e-05,1e-05
k115_6570,1e-05,1e-05
k115_6572,1e-05,1e-05
k115_6573,1e-05,1e-05
k115_2744,1e-05,1e-05
k115_6580,1e-05,1e-05
k115_6583,1e-05,1e-05
k115_8249,1e-05,1e-05
k115_9469,1e-05,1e-05
k115_1637,1e-05,1e-05
k115_2799,1e-05,1e-05
k115_6988,1e-05,1e-05
k115_9495,1e-05,1e-05
k115_9899,1e-05,1e-05
