,multi_sample_binning/S3.bam_cov
S1:k115_3216,0.010013212040563484
S1:k115_8949,0.0038102354128131833
S1:k115_9380,0.006707062762978095
S1:k115_6844,0.0058776795736719765
S1:k115_5748,0.011920013233348037
S1:k115_2441,0.004285427542754275
S1:k115_5340,0.04199524480214621
S1:k115_7765,0.005307252449181479
S1:k115_6496,0.0026255923050961865
S1:k115_3684,0.01723956952421097
S1:k115_8964,0.008753469892768765
S1:k115_2677,0.0062911956704615555
S1:k115_4090,0.009592200628530665
S1:k115_6515,0.023246282194848825
S1:k115_7788,0.005197364509135955
S1:k115_1226,0.009668748562142818
S1:k115_3282,3.83863355384159
S1:k115_1237,0.05363003266194883
S1:k115_9004,0.004584789641369168
S1:k115_2026,0.0013211783917801035
S1:k115_9859,0.00760301442672741
S1:k115_1238,0.025984025974025975
S1:k115_2698,0.013409857448325017
S1:k115_7814,0.007374381288248107
S1:k115_9439,0.02713294043092522
S1:k115_6549,0.003087491229149997
S1:k115_6954,0.013223742291983663
S1:k115_8247,0.011362418558736426
S1:k115_1628,0.011411832201937653
S1:k115_9864,0.012871964825013323
S1:k115_3688,0.010593475930010584
S1:k115_9047,0.0018025373838388603
S1:k115_9463,0.04280512888479121
S1:k115_9052,0.03833087772300843
S1:k115_6971,0.024141326949384406
S1:k115_9481,0.01819181818181818
S1:k115_9876,0.009880606472840014
S1:k115_7000,1.6653510828999696
S1:k115_2821,0.006801406791406791
S1:k115_9891,0.0052009747824804595
S1:k115_2837,0.019277257736226582
S1:k115_2853,0.014080599851888422
S2:k115_8675,0.014129601328903655
S2:k115_2895,0.016996706056129986
S2:k115_414,0.028817013881640745
S2:k115_1250,0.00799684519614752
S2:k115_4957,0.00430759053121037
S2:k115_1663,0.006104906399651719
S2:k115_829,0.013806778777830412
S2:k115_430,0.016430361247947455
S2:k115_4974,0.026939260450160773
S2:k115_9510,0.009288565471226022
S2:k115_4148,0.011604006373313444
S2:k115_4580,0.0200233422281521
S2:k115_9518,0.46633124352331606
S2:k115_6623,0.09399099260823653
S2:k115_438,0.26206903527717784
S2:k115_5431,0.025564808338937456
S2:k115_5432,0.03502346671796845
S2:k115_2939,0.005974603500537792
S2:k115_4157,0.02815409778063686
S2:k115_6202,0.005226731480603243
S2:k115_459,0.017548461538461537
S2:k115_2513,0.0030017371070377055
S2:k115_4987,0.005278265631498682
S2:k115_5461,0.005469745211890111
S2:k115_8345,0.18478251624883937
S2:k115_2127,0.011044820990681707
S2:k115_141,0.019134967251768404
S2:k115_5821,0.012705037000065103
S2:k115_6233,0.18735177215189874
S2:k115_469,0.02241684793554884
S2:k115_8349,0.016623290632506005
S2:k115_1325,0.010721343037627026
S2:k115_6240,0.0062286079885194925
S2:k115_474,0.006057466910086718
S2:k115_5014,0.0605910108644308
S2:k115_4187,0.0019221161978304835
S2:k115_7058,0.007436070812889536
S2:k115_3754,0.011809584939223242
S2:k115_1723,0.013621290207034887
S2:k115_9212,0.020812919708029197
S2:k115_888,0.0015154452274183216
S2:k115_4654,0.007072600321027287
S2:k115_2561,0.006287209679052343
S2:k115_7564,0.01219917601170161
S2:k115_6263,0.01755686296327998
S2:k115_5496,0.2652979367318903
S2:k115_7065,0.08665341172499155
S2:k115_3035,0.02609098833218943
S2:k115_8749,0.010905829936107446
S2:k115_5035,0.008284647887323943
S2:k115_6271,0.008722487899322362
S2:k115_223,0.007391121362668559
