,multi_output/samples/S2.bam_1_depth.txt_cov
S1:k115_4743_2,1e-05
S1:k115_1366_1,0.009601922591501893
S1:k115_1366_2,0.008003268826251577
S1:k115_299_1,1e-05
S1:k115_299_2,0.03814104189044039
S1:k115_6731_1,1e-05
S1:k115_6731_2,0.45346943255350924
S1:k115_7672_1,1e-05
S1:k115_7672_2,0.02962808261886204
S1:k115_3479_1,0.01428015659619212
S1:k115_3479_2,0.02070095005632745
S1:k115_1747_1,0.028356298954959766
S1:k115_1747_2,0.015534839743589744
S1:k115_6343_1,0.00326472856791943
S1:k115_6343_2,0.0045543380004912795
S1:k115_2250_1,0.012651331658291456
S1:k115_2250_2,1e-05
S1:k115_4771_1,0.015015923390812163
S1:k115_4771_2,0.00764459260234303
S1:k115_960_1,0.012129790444913597
S1:k115_960_2,0.006421509441338597
S1:k115_5992_1,0.010513133999661188
S1:k115_5992_2,1e-05
S1:k115_1777_1,1e-05
S1:k115_1777_2,0.007876728366496992
S1:k115_5172_1,0.011264980079681275
S1:k115_5172_2,1e-05
S1:k115_3485_1,0.00582913499344692
S1:k115_3485_2,1e-05
S1:k115_6359_1,0.010001216512955644
S1:k115_6359_2,1e-05
S1:k115_2566_1,0.010393374128872328
S1:k115_2566_2,0.004188294694501177
S1:k115_6753_1,1e-05
S1:k115_6753_2,0.04059522898085981
S1:k115_8534_1,0.009017797795106211
S1:k115_8534_2,0.015202255982791072
S1:k115_9358_1,1e-05
S1:k115_9358_2,0.027787777777777776
S1:k115_4807_1,0.010891778934295345
S1:k115_4807_2,0.005864523950325251
S1:k115_9693_1,0.019975919686203904
S1:k115_9693_2,0.011262933800598013
S1:k115_1399_1,1e-05
S1:k115_1399_2,0.01512618557529951
S1:k115_4372_1,1e-05
S1:k115_4372_2,0.010893674488267599
S1:k115_3924_1,0.053518771929824564
S1:k115_3924_2,1e-05
S1:k115_1407_1,0.028281203402551913
S1:k115_1407_2,0.02852425712856428
S1:k115_2360_1,0.0011223470522803115
S1:k115_2360_2,0.03670928825622776
S1:k115_4399_1,0.1689557432730481
S1:k115_4399_2,0.694319660344067
S1:k115_682_1,1e-05
S1:k115_682_2,0.005650937086283313
S1:k115_1812_1,1e-05
S1:k115_1812_2,0.013489957431713374
S1:k115_3150_1,1e-05
S1:k115_3150_2,0.022232222222222223
S1:k115_6065_1,1e-05
S1:k115_6065_2,0.014626479110076316
S1:k115_5651_1,1e-05
S1:k115_5651_2,0.044127647058823535
S1:k115_8929_1,0.013301948146795691
S1:k115_8929_2,0.011548742423135909
S1:k115_2569_1,1e-05
S1:k115_2569_2,0.01668015050167224
S1:k115_4402_1,1e-05
S1:k115_4402_2,0.029497842731505432
