,multi_output/samples/S1.bam_0_depth.txt_cov,multi_output/samples/S2.bam_1_depth.txt_cov,multi_output/samples/S3.bam_2_depth.txt_cov,multi_output/samples/S4.bam_3_depth.txt_cov,multi_output/samples/S5.bam_4_depth.txt_cov
k115_8349_2,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_7912_1,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_7912_2,0.000227487569479535,0.000227487569479535,0.000227487569479535,0.000227487569479535,0.000227487569479535
k115_1325_1,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_1325_2,0.00046807758980555803,0.00046807758980555803,0.00046807758980555803,0.00046807758980555803,0.00046807758980555803
k115_6240_1,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_6240_2,0.000511939272901219,0.000511939272901219,0.000511939272901219,0.000511939272901219,0.000511939272901219
k115_474_1,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_474_2,0.000241998676403468,0.000241998676403468,0.000241998676403468,0.000241998676403468,0.000241998676403468
k115_5828_1,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_5828_2,0.000101499600114253,0.000101499600114253,0.000101499600114253,0.000101499600114253,0.000101499600114253
k115_5014_1,0.000979079688238072,0.000979079688238072,0.000979079688238072,0.000979079688238072,0.000979079688238072
k115_5014_2,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_7058_1,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
